12	13	3
4	18	4
1	2	4
7	18	19
7	9	5
19	8	13
18	2	17
10	4	14
7	11	14
14	19	13
18	1	15
14	17	16
15	8	18
8	9	7
3	19	22
6	0	18
11	15	17
16	13	11
5	3	16
1	16	5
4	8	22
5	13	15
4	7	2
9	2	2
12	18	7
12	0	8
6	6	15
20	15	10
3	4	19
17	2	13
17	9	21
0	15	5
2	6	6
18	5	22
16	11	20
17	10	6
10	1	2
19	2	21
20	13	15
6	8	14
14	18	18
12	10	9
20	3	2
1	9	6
13	16	19
8	13	17
2	12	3
11	2	15
17	10	6
2	11	15
15	8	13
7	16	19
8	1	18
19	6	16
4	14	19
2	6	6
17	0	17
1	11	20
18	6	8
7	2	22
9	9	20
15	5	19
18	5	4
14	14	11
15	3	22
13	9	11
2	9	15
2	3	15
14	16	5
1	3	7
3	9	16
10	16	21
2	19	7
8	3	18
19	16	5
14	18	15
11	14	14
8	10	8
6	3	11
4	14	13
8	12	19
16	14	12
4	15	18
15	14	4
9	1	17
6	19	5
0	17	12
4	6	19
12	6	12
2	19	10
6	2	17
2	18	7
13	16	20
15	18	13
17	5	5
17	16	19
11	10	14
6	13	13
11	18	3
12	12	8
